Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,FM_Score,Segment,Recency_log,Frequency_log,Monetary_log,KMeans_Cluster
12346,165,11,372.86,2,5,2,252,4,Need Attention,5.111987788356544,2.4849066497880004,5.923881395784186,1
12347,3,2,1323.32,5,2,4,524,3,Loyal Customers,1.3862943611198906,1.0986122886681098,7.188654399137086,0
12348,74,1,222.16,2,1,1,211,1,Hibernating,4.31748811353631,0.6931471805599453,5.407889002977328,1
12349,43,3,2671.14,3,3,5,335,4,Loyal Customers,3.784189633918261,1.3862943611198906,7.890634928493536,0
12351,11,1,300.93,5,1,2,512,2,Potential Loyalists,2.4849066497880004,0.6931471805599453,5.710195202428391,1
12352,11,2,343.8,5,2,2,522,2,Potential Loyalists,2.4849066497880004,1.0986122886681098,5.842964538789538,1
12353,44,1,317.76,3,1,2,312,2,Promising,3.8066624897703196,0.6931471805599453,5.764438468529548,1
12355,203,1,488.21000000000004,1,1,2,112,2,Lost,5.318119993844216,0.6931471805599453,6.192791845141295,1
12356,16,3,3562.25,4,3,5,435,4,Champions,2.833213344056216,1.3862943611198906,8.17842832873514,0
12357,24,2,12079.99,4,2,5,425,4,Champions,3.2188758248682006,1.0986122886681098,9.399388421773173,0
12358,11,3,2719.01,5,3,5,535,4,Champions,2.4849066497880004,1.3862943611198906,7.908390835753873,0
12359,61,6,2563.36,3,4,5,345,4,Loyal Customers,4.127134385045092,1.9459101490553132,7.8494642138008395,0
12360,15,5,1590.83,5,4,4,544,4,Champions,2.772588722239781,1.791759469228055,7.372639576782921,0
12361,98,3,321.35,2,3,2,232,2,Hibernating,4.59511985013459,1.3862943611198906,5.775637911756629,1
12362,374,1,130.0,1,1,1,111,1,Lost,5.926926025970411,0.6931471805599453,4.875197323201151,1
12366,269,1,500.24,1,1,2,112,2,Lost,5.598421958998375,0.6931471805599453,6.217085028297085,1
12368,264,1,917.6999999999999,1,1,3,113,2,Lost,5.579729825986222,0.6931471805599453,6.822959627277421,1
12369,49,3,1791.15,3,3,4,334,4,Loyal Customers,3.912023005428146,1.3862943611198906,7.491171295388921,0
12370,260,3,774.62,1,3,3,133,3,At Risk,5.564520407322694,1.3862943611198906,6.653662709523911,1
12371,45,3,2179.42,3,3,5,335,4,Loyal Customers,3.828641396489095,1.3862943611198906,7.687272797776933,0
12373,260,2,763.0500000000001,1,2,3,123,2,Lost,5.564520407322694,1.0986122886681098,6.638633232051267,1
12374,57,3,2246.29,3,3,5,335,4,Loyal Customers,4.060443010546419,1.3862943611198906,7.717480324827861,0
12376,25,2,503.15,4,2,2,422,2,Potential Loyalists,3.258096538021482,1.0986122886681098,6.222873842839224,1
12377,17,2,1798.2,4,2,4,424,3,Loyal Customers,2.8903717578961645,1.0986122886681098,7.495097400645106,0
12378,198,1,1407.7,1,1,4,114,2,Lost,5.293304824724492,0.6931471805599453,7.250422572266261,1
12379,58,2,767.98,3,2,3,323,2,Promising,4.07753744390572,1.0986122886681098,6.645064961365095,1
12380,101,7,6951.49,2,5,5,255,5,Need Attention,4.624972813284271,2.0794415416798357,8.84685514777555,0
12385,15,1,1938.4,5,1,4,514,2,Potential Loyalists,2.772588722239781,0.6931471805599453,7.570133925870446,1
12386,2,1,258.9,5,1,2,512,2,Potential Loyalists,1.0986122886681098,0.6931471805599453,5.560296941647445,1
12387,51,1,143.94,3,1,1,311,1,About to Sleep,3.9512437185814275,0.6931471805599453,4.976319863681136,1
12388,81,2,1120.45,2,2,4,224,3,Need Attention,4.406719247264253,1.0986122886681098,7.022377769818835,1
12389,38,3,1433.33,3,3,4,334,4,Loyal Customers,3.6635616461296463,1.3862943611198906,7.268453120207762,0
12391,100,5,2312.53,2,4,5,245,4,Need Attention,4.61512051684126,1.791759469228055,7.746529775628442,0
12392,227,1,234.75000000000003,1,1,1,111,1,Lost,5.429345628954441,0.6931471805599453,5.462771921513567,1
12393,18,2,816.85,4,2,3,423,2,Potential Loyalists,2.9444389791664403,1.0986122886681098,6.706678945704534,1
12395,7,4,2048.64,5,4,4,544,4,Champions,2.0794415416798357,1.6094379124341003,7.625419446955157,0
12396,310,1,931.43,1,1,3,113,2,Lost,5.739792912179234,0.6931471805599453,6.837794081676172,1
12399,21,3,853.65,4,3,3,433,3,Loyal Customers,3.091042453358316,1.3862943611198906,6.750692028402277,0
12400,50,1,205.25,3,1,1,311,1,About to Sleep,3.9318256327243257,0.6931471805599453,5.32908902521479,1
12402,28,5,1031.3,4,4,4,444,4,Champions,3.367295829986474,1.791759469228055,6.939544601471544,0
12403,157,1,591.6600000000001,2,1,3,213,2,Hibernating,5.062595033026967,0.6931471805599453,6.3846208787485486,1
12404,318,1,63.24,1,1,1,111,1,Lost,5.765191102784844,0.6931471805599453,4.162626069638506,1
12406,35,3,2975.06,4,3,5,435,4,Champions,3.58351893845611,1.3862943611198906,7.998355557040069,0
12408,21,3,1452.22,4,3,4,434,4,Champions,3.091042453358316,1.3862943611198906,7.281537062982867,0
12409,56,4,12346.619999999999,3,4,5,345,4,Loyal Customers,4.04305126783455,1.6094379124341003,9.421218610934066,0
12410,138,1,320.38,2,1,2,212,2,Hibernating,4.9344739331306915,0.6931471805599453,5.772624223613607,1
12411,45,1,346.9,3,1,2,312,2,Promising,3.828641396489095,0.6931471805599453,5.8519150821578965,1
12412,38,3,1370.05,3,3,4,334,4,Loyal Customers,3.6635616461296463,1.3862943611198906,7.223332148627434,0
12413,38,1,241.35,3,1,1,311,1,About to Sleep,3.6635616461296463,0.6931471805599453,5.490382962291385,1
12414,99,3,390.0,2,3,2,232,2,Hibernating,4.605170185988092,1.3862943611198906,5.968707559985366,1
